Županija;Tip jedinice;Ime jedinice
I ZAGREBAÈKA;Opæina;Bedenica
I ZAGREBAÈKA;Opæina;Bistra
I ZAGREBAÈKA;Opæina;Brckovljani
I ZAGREBAÈKA;Opæina;Brdovec
I ZAGREBAÈKA;Opæina;Dubrava
I ZAGREBAÈKA;Opæina;Dubravica
I ZAGREBAÈKA;Grad;Dugo Selo
I ZAGREBAÈKA;Opæina;Farkaševac
I ZAGREBAÈKA;Opæina;Gradec
I ZAGREBAÈKA;Grad;Ivaniæ-Grad
I ZAGREBAÈKA;Opæina;Jakovlje
I ZAGREBAÈKA;Grad;Jastrebarsko
I ZAGREBAÈKA;Opæina;Klinèa Sela
I ZAGREBAÈKA;Opæina;Kloštar Ivaniæ
I ZAGREBAÈKA;Opæina;Krašiæ
I ZAGREBAÈKA;Opæina;Kravarsko
I ZAGREBAÈKA;Opæina;Križ
I ZAGREBAÈKA;Opæina;Luka
I ZAGREBAÈKA;Opæina;Marija Gorica
I ZAGREBAÈKA;Opæina;Orle
I ZAGREBAÈKA;Opæina;Pisarovina
I ZAGREBAÈKA;Opæina;Pokupsko
I ZAGREBAÈKA;Opæina;Preseka
I ZAGREBAÈKA;Opæina;Pušæa
I ZAGREBAÈKA;Opæina;Rakovec
I ZAGREBAÈKA;Opæina;Rugvica
I ZAGREBAÈKA;Grad;Samobor
I ZAGREBAÈKA;Opæina;Stupnik
I ZAGREBAÈKA;Grad;Sveta Nedelja
I ZAGREBAÈKA;Grad;Sveti Ivan Zelina
I ZAGREBAÈKA;Grad;Velika Gorica
I ZAGREBAÈKA;Grad;Vrbovec
I ZAGREBAÈKA;Grad;Zaprešiæ
I ZAGREBAÈKA;Opæina;Žumberak
II KRAPINSKO-ZAGORSKA;Opæina;Bedekovèina
II KRAPINSKO-ZAGORSKA;Opæina;Budinšèina
II KRAPINSKO-ZAGORSKA;Opæina;Desiniæ
II KRAPINSKO-ZAGORSKA;Grad;Donja Stubica
II KRAPINSKO-ZAGORSKA;Opæina;Ðurmanec
II KRAPINSKO-ZAGORSKA;Opæina;Gornja Stubica
II KRAPINSKO-ZAGORSKA;Opæina;Hrašæina
II KRAPINSKO-ZAGORSKA;Opæina;Hum na Sutli
II KRAPINSKO-ZAGORSKA;Opæina;Jesenje
II KRAPINSKO-ZAGORSKA;Grad;Klanjec
II KRAPINSKO-ZAGORSKA;Opæina;Konjšèina
II KRAPINSKO-ZAGORSKA;Opæina;Kraljevec na Sutli
II KRAPINSKO-ZAGORSKA;Grad;Krapina
II KRAPINSKO-ZAGORSKA;Opæina;Krapinske Toplice
II KRAPINSKO-ZAGORSKA;Opæina;Kumrovec
II KRAPINSKO-ZAGORSKA;Opæina;Lobor
II KRAPINSKO-ZAGORSKA;Opæina;Maèe
II KRAPINSKO-ZAGORSKA;Opæina;Marija Bistrica
II KRAPINSKO-ZAGORSKA;Opæina;Mihovljan
II KRAPINSKO-ZAGORSKA;Opæina;Novi Golubovec
II KRAPINSKO-ZAGORSKA;Grad;Oroslavje
II KRAPINSKO-ZAGORSKA;Opæina;Petrovsko
II KRAPINSKO-ZAGORSKA;Grad;Pregrada
II KRAPINSKO-ZAGORSKA;Opæina;Radoboj
II KRAPINSKO-ZAGORSKA;Opæina;Stubièke Toplice
II KRAPINSKO-ZAGORSKA;Opæina;Sveti Križ Zaèretje
II KRAPINSKO-ZAGORSKA;Opæina;Tuhelj
II KRAPINSKO-ZAGORSKA;Opæina;Veliko Trgovišæe
II KRAPINSKO-ZAGORSKA;Grad;Zabok
II KRAPINSKO-ZAGORSKA;Opæina;Zagorska Sela
II KRAPINSKO-ZAGORSKA;Grad;Zlatar
II KRAPINSKO-ZAGORSKA;Opæina;Zlatar Bistrica
III SISAÈKO-MOSLAVAÈKA;Opæina;Donji Kukuruzari
III SISAÈKO-MOSLAVAÈKA;Opæina;Dvor
III SISAÈKO-MOSLAVAÈKA;Grad;Glina
III SISAÈKO-MOSLAVAÈKA;Opæina;Gvozd
III SISAÈKO-MOSLAVAÈKA;Opæina;Hrvatska Dubica
III SISAÈKO-MOSLAVAÈKA;Grad;Hrvatska Kostajnica
III SISAÈKO-MOSLAVAÈKA;Opæina;Jasenovac
III SISAÈKO-MOSLAVAÈKA;Grad;Kutina
III SISAÈKO-MOSLAVAÈKA;Opæina;Lekenik
III SISAÈKO-MOSLAVAÈKA;Opæina;Lipovljani
III SISAÈKO-MOSLAVAÈKA;Opæina;Majur
